Subject Code,Shot Number,Shot Type (2) / (3),Miss (0) /Made (1),Position,Height,Body Mass,Peak Braking Force,Peak Braking Power,Peak Propulsive Force,Peak Propulsive Power,Left Leg / Peak Propulsive Force,Right Leg / Peak Propulsive Force,Jump Height,Braking Duration,Propulsive Duration,Displacement Depth,Force at Min Displacement
12,9,2,1,,,,2046,669,2422,3281,1394,1028,11.0,0.230,0.217,6.1,2046
12,10,2,1,,,,2364,1049,2578,2858,1466,1112,12.5,0.241,0.186,47.4,2364
12,1,3,0,,,,1995,870,2441,3450,1361,1081,16.5,0.283,0.196,18.6,1995
12,2,3,1,,,,2070,1093,2296,3184,1359,940,16.2,0.294,0.204,22.5,2070
12,3,3,1,,,,2101,911,2350,3080,1371,983,15.4,0.253,0.202,19.8,2101
12,4,3,1,,,,2155,971,2323,3084,1379,948,15.4,0.275,0.210,24.8,2155
12,5,3,1,,,,1761,522,2397,3885,1355,1043,15.3,0.245,0.235,27.8,1761
12,6,3,0,,,,1545,276,2303,4647,1339,968,16.0,2.809,0.269,47.1,1545
12,7,3,0,,,,950,71,2368,7311,1343,1029,19.1,0.221,2.550,2.5,950
12,8,3,1,,,,2261,1667,2318,2560,1346,976,17.3,0.310,0.188,73.9,2261
12,9,3,1,,,,1933,637,2333,3675,1345,995,18.4,0.261,0.222,16.7,1933
12,10,3,0,,,,2113,897,2357,3473,1393,977,17.6,0.281,0.206,18.1,2113
13,1,2,0,Forward,203,89.79,1619,819,2304,3339,1172,1133,14.6,0.245,0.220,18.3,1619
13,2,2,0,,,,1531,776,2302,3299,1192,1111,14.0,0.251,0.225,18.0,1531
13,3,2,1,,,,1521,741,2358,3260,1148,1220,13.4,0.243,0.215,15.8,1521
13,4,2,1,,,,1113,298,2222,2686,1184,1042,7.9,0.802,0.234,5.5,1113
13,5,2,0,,,,1411,588,2254,3197,1141,1117,14.1,0.281,0.230,15.8,1411
13,6,2,1,,,,1459,622,2322,3526,1282,1048,15.6,0.274,0.228,15.6,1459
13,7,2,1,,,,1404,795,2127,2996,1138,991,13.5,0.320,0.250,19.7,1404
13,8,2,1,,,,1518,838,2368,3578,1265,1104,17.1,0.254,0.220,19.3,1518
13,9,2,1,,,,1448,700,2076,3005,1067,1009,12.5,0.276,0.248,19.3,1448
13,10,2,1,,,,1548,795,2142,3064,1161,986,12.8,0.291,0.235,19.1,1548
13,1,3,1,,,,1575,746,2401,3934,1272,1129,19.4,0.251,0.225,17.3,1575
13,2,3,1,,,,1514,691,2505,3778,1305,1201,18.0,0.298,0.211,15.8,1514
13,3,3,1,,,,1630,857,2318,3763,1228,1091,19.1,0.260,0.225,18.4,1630
13,4,3,1,,,,1603,782,2421,3717,1273,1148,18.6,0.260,0.216,17.7,1603
13,5,3,0,,,,1579,788,2376,3705,1235,1145,18.0,0.256,0.222,16.9,1579
13,6,3,1,,,,1684,902,2207,3648,1158,1051,18.9,0.266,0.226,20.8,1684
13,7,3,0,,,,1605,838,2327,3731,1201,1126,18.7,0.260,0.225,19.3,1605
13,8,3,1,,,,1485,765,2243,3283,1201,1048,15.4,0.326,0.234,20.4,1485
13,9,3,1,,,,1649,829,2265,3566,1208,1057,17.7,0.278,0.227,19.4,1649
13,10,3,1,,,,1661,875,2210,3566,1168,1045,18.5,0.277,0.235,20.9,1661
14,1,2,1,Power Forward,206,123.97,1352,95,2492,6760,1413,1190,8.4,0.109,2.538,1.6,1352
14,2,2,0,,,,2253,2131,2715,2187,1500,1224,10.4,0.566,0.190,108.5,2253
14,3,2,1,,,,1689,578,2855,3938,1549,1307,10.7,0.418,0.289,14.9,1689
14,4,2,1,,,,1811,1048,2535,2984,1365,1212,7.0,0.327,0.286,20.6,1811
14,5,2,1,,,,1715,876,2473,3096,1331,1176,7.2,0.360,0.307,18.9,1715
14,6,2,1,,,,1362,179,2481,5481,1374,1235,8.3,0.152,2.644,3.5,1358
14,7,2,0,,,,1734,773,2529,3362,1387,1151,8.4,0.382,0.308,17.7,1734
14,8,2,1,,,,2152,1678,2408,1838,1279,1321,8.3,0.432,0.211,82.8,2152
14,9,2,1,,,,1762,891,2528,3360,1413,1117,8.4,0.331,0.297,17.2,1762
14,10,2,0,,,,1702,499,2704,3503,1482,1227,9.3,0.509,0.296,16.1,1702
14,1,3,1,,,,1693,699,2347,2821,1361,986,6.1,0.377,0.298,15.3,1693
14,2,3,1,,,,1660,874,2286,2512,1292,995,5.5,0.349,0.323,17.7,1660
14,3,3,0,,,,1764,940,2213,3274,1260,1164,6.6,0.342,0.375,10.8,1764
14,4,3,0,,,,1790,1242,2179,2230,1179,1207,5.8,0.445,0.298,72.3,1747
14,5,3,1,,,,2061,1670,2269,1770,1285,1237,6.8,0.436,0.231,98.5,2061
14,6,3,1,,,,1754,1212,2189,2495,1382,1270,5.9,0.390,0.331,48.2,1674
14,7,3,0,,,,1572,836,2190,2748,1224,967,5.3,0.379,0.369,18.9,1572
14,8,3,0,,,,1574,670,2204,2763,1234,995,5.6,0.407,0.351,14.7,1574
14,9,3,0,,,,1765,766,2242,2659,1220,1308,6.1,0.449,0.293,27.9,1765
14,10,3,1,,,,1531,636,2291,2934,1291,999,5.9,0.430,0.373,14.7,1419
15,1,2,0,Forward,199,91.6,1252,453,1726,2184,1018,710,6.5,0.298,0.308,14.8,1252
15,2,2,1,,,,1346,536,1656,2026,980,695,5.5,0.290,0.309,15.7,1346
15,3,2,1,,,,1283,398,1640,1904,987,678,4.1,0.375,0.321,11.2,1215
15,4,2,1,,,,1449,519,1683,2153,992,724,6.1,0.229,0.289,12.6,1449
15,5,2,0,,,,1286,455,1530,1790,911,650,3.5,0.204,0.331,12.6,1286
15,6,2,1,,,,1251,446,1613,1813,950,667,4.4,0.384,0.306,13.2,1251
15,7,2,1,,,,1293,433,1545,1660,954,617,4.0,0.282,0.304,12.5,1293
15,8,2,1,,,,1281,491,1598,1697,975,636,2.7,0.284,0.330,13.9,1281
15,9,2,1,,,,1289,459,1529,1651,915,640,3.0,0.357,0.328,12.1,1289
15,10,2,1,,,,1418,549,1466,1648,927,589,2.7,0.251,0.333,14.3,1418
15,1,3,0,,,,1788,1433,1908,3329,1059,854,15.1,0.275,0.282,16.5,1740
15,2,3,0,,,,1842,1011,1998,2998,1100,899,15.6,0.279,0.244,21.9,1842
15,3,3,0,,,,1554,540,1943,3469,1063,885,13.9,0.255,0.285,9.4,1554
15,4,3,1,,,,1760,797,1939,2980,1048,892,13.6,0.275,0.250,17.0,1760
15,5,3,0,,,,1680,770,1934,2918,1086,850,13.3,0.302,0.258,17.2,1680
15,6,3,1,,,,1757,838,1958,2851,1072,887,14.3,0.300,0.249,19.5,1757
15,7,3,1,,,,1834,880,2033,3066,1102,931,15.0,0.278,0.243,18.4,1834
15,8,3,0,,,,1797,701,1965,2894,1142,828,14.0,0.296,0.237,16.8,1797
15,9,3,1,,,,1396,256,2036,3885,1113,929,14.3,2.406,0.314,22.7,1396
15,10,3,1,,,,1778,813,1950,2526,1061,890,11.7,0.261,0.236,27.2,1778
16,1,2,1,Guard,194,97.63,1685,736,1791,2434,947,854,6.4,0.388,0.319,21.4,1685
16,2,2,0,,,,1591,736,1740,2614,1003,1085,5.6,0.202,0.335,11.8,1591
16,3,2,1,,,,1484,376,1696,2441,953,776,4.4,0.321,0.351,15.7,1484
16,4,2,1,,,,1384,341,1679,2456,933,796,5.2,0.518,0.369,16.5,1384
16,5,2,1,,,,1654,610,1735,2528,922,877,6.4,0.295,0.331,20.6,1654
16,6,2,1,,,,1586,474,1727,2400,894,842,5.6,0.252,0.344,17.6,1586
16,7,2,1,,,,1538,566,1730,2586,909,872,7.1,0.456,0.337,21.3,1538
16,8,2,1,,,,1768,880,1840,2610,1025,1195,8.5,0.525,0.302,19.5,1768
16,9,2,1,,,,1818,881,1896,3036,1005,1001,8.9,0.508,0.305,12.9,1818
16,10,2,0,,,,1718,697,1851,2454,956,942,5.0,0.785,0.335,17.8,1718
16,1,3,0,,,,1611,512,1975,3461,1076,900,11.6,0.303,0.311,18.2,1611
16,2,3,1,,,,1727,515,1980,3407,1175,1023,11.3,0.602,0.303,16.7,1727
16,3,3,0,,,,1787,630,2036,3344,1110,933,13.1,0.304,0.284,19.5,1787
16,4,3,1,,,,1748,658,1932,3106,1107,953,9.9,0.285,0.294,19.7,1748
16,5,3,1,,,,1614,537,1912,3323,1133,802,10.2,0.309,0.320,18.5,1614
16,6,3,1,,,,1650,618,1968,3160,1100,870,9.9,0.326,0.300,23.5,1650
16,7,3,1,,,,1644,455,1942,3378,1079,877,10.4,0.292,0.323,18.0,1644
16,8,3,1,,,,1648,563,1898,3346,1117,804,10.5,0.257,0.317,17.9,1648
16,9,3,1,,,,1682,592,1957,3116,1097,861,8.1,0.315,0.319,22.9,1682
16,10,3,1,,,,1687,520,1933,3242,1074,876,9.3,0.279,0.315,20.2,1687
17,1,2,1,Shooting Guard,195,83.07,1156,449,1559,2165,763,799,5.0,0.347,0.397,14.8,1156
17,2,2,1,,,,1171,533,1450,1799,704,750,4.0,0.313,0.399,19.7,1168
17,3,2,1,,,,1174,563,1445,1895,701,746,4.9,0.348,0.397,21.7,1162
17,4,2,1,,,,1119,403,1480,2092,841,860,4.3,0.368,0.447,9.9,1113
17,5,2,1,,,,1163,721,1453,1724,832,885,5.8,0.409,0.350,43.3,1159
17,6,2,1,,,,1007,111,1334,2663,895,927,5.0,2.324,0.558,39.8,1007
17,7,2,1,,,,1197,680,1414,1588,873,858,4.4,0.401,0.373,50.4,1166
17,8,2,1,,,,1230,837,1425,1781,805,840,3.0,0.299,0.409,21.2,1175
17,9,2,1,,,,1076,445,1443,1673,718,725,2.6,0.413,0.409,22.1,1071
17,10,2,1,,,,1132,517,1428,1673,665,767,3.0,0.341,0.409,18.4,1102
17,1,3,0,,,,1151,569,1646,2334,787,871,10.1,0.433,0.355,27.3,1149
17,2,3,1,,,,1172,384,1678,3118,870,834,10.7,0.323,0.425,10.7,1172
17,3,3,1,,,,1324,735,1637,2522,892,837,10.1,0.277,0.372,25.9,1273
17,4,3,1,,,,1313,749,1663,2564,850,827,12.9,0.353,0.334,27.7,1302
17,5,3,1,,,,1286,391,1667,3595,860,838,13.2,0.227,0.430,22.3,1286
17,6,3,1,,,,1347,1140,1640,2099,801,861,12.7,0.389,0.289,87.0,1281
17,7,3,0,,,,1338,867,1669,2713,826,850,13.8,0.337,0.350,26.8,1280
17,8,3,0,,,,1352,864,1666,2646,842,825,12.4,0.305,0.360,25.4,1278
17,9,3,0,,,,1418,805,1662,2874,836,892,12.9,0.278,0.360,20.1,1385
17,10,3,1,,,,1411,1048,1640,2682,842,817,13.0,0.313,0.348,26.0,1359
18,1,2,0,Guard,195,80.49,1103,270,1548,1789,837,717,5.2,0.280,0.299,11.9,1103
18,2,2,1,,,,1212,385,1619,1893,798,838,6.6,0.396,0.271,14.6,1212
18,3,2,1,,,,1288,354,1622,1942,809,861,7.7,0.394,0.254,13.7,1288
18,4,2,1,,,,1351,342,1654,2004,823,839,7.2,0.220,0.253,9.4,1351
18,5,2,1,,,,1176,273,1542,1856,804,781,5.4,0.344,0.289,9.4,1176
18,6,2,0,,,,1282,298,1530,1590,815,748,3.8,0.296,0.283,11.6,1282
18,7,2,0,,,,1181,230,1528,1592,836,695,4.4,0.442,0.281,11.0,1181
18,8,2,1,,,,1237,246,1446,1350,758,712,2.6,0.339,0.297,7.4,1237
18,9,2,1,,,,1030,70,1457,1629,802,689,4.1,0.240,0.302,1.9,1030
18,10,2,0,,,,998,227,1500,1703,770,742,4.1,0.246,0.320,8.8,998
18,1,3,0,,,,1551,363,1806,2369,944,862,10.4,0.250,0.227,19.1,1551
18,2,3,1,,,,1270,193,1881,2576,1000,883,9.9,0.574,0.246,8.1,1270
18,3,3,0,,,,1245,151,1790,2486,995,795,9.7,0.131,0.256,5.6,1245
18,4,3,1,,,,1398,324,1848,2419,1020,829,10.5,0.224,0.234,15.1,1398
18,5,3,1,,,,1438,262,1909,2570,1009,905,10.5,0.131,0.235,9.2,1438
18,6,3,1,,,,1277,184,1871,2705,1006,867,11.9,0.152,0.243,7.8,1277
18,7,3,0,,,,1355,247,1847,2439,1014,834,10.6,0.309,0.241,11.3,1355
18,8,3,0,,,,1266,241,1782,2332,955,827,9.7,0.550,0.248,13.4,1266
18,9,3,0,,,,1188,209,1717,2316,948,769,9.3,0.223,0.270,10.6,1188
18,10,3,1,,,,1227,228,1777,2498,960,822,10.7,0.175,0.260,11.7,1227
19,1,2,0,Center,206,91.93,1211,354,1552,2054,879,724,7.4,0.461,0.355,12.8,1211
19,2,2,1,,,,1216,269,1502,1911,884,740,6.0,0.521,0.360,11.9,1216
19,3,2,0,,,,1335,326,1517,1896,801,753,6.7,0.458,0.350,14.8,1335
19,4,2,1,,,,1202,281,1657,2330,909,763,9.2,0.470,0.346,12.5,1202
19,5,2,1,,,,1395,266,1649,2211,945,734,8.6,0.608,0.319,14.2,1395
19,6,2,1,,,,1221,364,1583,2236,924,689,8.9,0.504,0.374,15.8,1216
19,7,2,1,,,,1315,320,1583,2117,891,714,7.3,0.574,0.351,14.3,1315
19,8,2,0,,,,1197,530,1801,2611,948,854,10.7,0.461,0.336,19.5,1197
19,9,2,1,,,,1196,393,1375,1709,785,647,4.7,0.442,0.407,14.3,1196
19,10,2,1,,,,1206,291,1406,1596,820,640,4.4,0.494,0.395,12.7,1206
19,1,3,1,,,,1550,376,1859,2893,915,959,14.0,0.236,0.277,16.3,1550
19,2,3,1,,,,1455,337,1785,2703,984,807,12.5,0.254,0.302,17.7,1455
19,3,3,0,,,,1533,339,1861,2986,959,917,14.4,0.248,0.296,16.3,1533
19,4,3,1,,,,1394,255,1903,3087,1041,877,14.2,0.695,0.306,14.5,1394
19,5,3,0,,,,1518,410,1867,2759,981,894,14.3,0.252,0.285,18.8,1518
19,6,3,1,,,,1441,276,1826,2918,957,879,13.8,0.684,0.307,15.4,1441
19,7,3,1,,,,1436,313,1872,3039,949,926,14.0,0.665,0.308,14.8,1436
19,8,3,0,,,,1499,423,1867,2921,985,890,13.6,0.166,0.296,18.2,1499
19,9,3,1,,,,1471,323,1836,2901,928,911,13.2,0.567,0.298,14.1,1471
19,10,3,0,,,,1386,270,1829,3015,919,923,12.7,0.629,0.313,10.9,1386
20,1,2,1,Power Forward,201,111.88,1629,700,1881,2099,1221,740,3.1,0.321,0.342,16.5,1629
20,2,2,1,,,,1646,789,1863,1511,1142,1069,2.0,1.470,0.287,43.7,1646
20,3,2,0,,,,1646,789,1863,1511,1142,1069,2.0,1.470,0.287,43.7,1646
20,4,2,1,,,,1591,612,1871,1996,1149,741,1.8,0.307,0.352,15.2,1591
20,5,2,1,,,,1633,641,1847,1770,1140,734,1.6,0.286,0.325,14.6,1632
20,6,2,1,,,,1772,639,2107,2339,1260,848,4.5,0.268,0.265,14.3,1772
20,7,2,1,,,,1654,585,2003,2311,1148,859,4.0,0.239,0.299,11.8,1654
20,8,2,1,,,,1660,713,1991,2116,1250,748,2.9,0.279,0.311,16.2,1660
20,9,2,1,,,,1553,470,2252,2615,1410,845,4.9,0.307,0.275,11.5,1498
20,10,2,0,,,,1521,406,2089,2929,1225,1099,4.0,0.228,0.368,6.3,1521
20,1,3,0,,,,1793,760,2375,3195,1567,813,7.5,0.260,0.274,16.0,1793
20,2,3,0,,,,1957,851,2284,3100,1524,760,5.8,0.269,0.280,17.8,1957
20,3,3,0,,,,1598,251,2274,4162,1528,1129,6.1,2.477,0.354,37.2,1598
20,4,3,1,,,,1918,707,2268,2912,1507,763,5.5,0.288,0.268,17.1,1918
20,5,3,1,,,,1547,608,2370,2915,1325,1049,4.1,0.372,0.292,15.8,1541
20,6,3,1,,,,1869,599,2159,2455,1350,824,4.9,0.246,0.246,14.6,1869
20,7,3,1,,,,1877,645,2135,2644,1280,859,3.3,0.247,0.289,16.2,1877
20,8,3,0,,,,1674,702,2192,2659,1408,799,4.0,0.339,0.308,17.5,1674
20,9,3,0,,,,1553,203,2308,3310,1506,1073,5.1,2.706,0.307,9.2,1553
20,10,3,0,,,,1987,531,2292,2601,1497,802,4.5,0.199,0.240,13.8,1987
21,1,2,1,Guard,196,82.72,1127,77,1675,3880,894,785,9.0,2.394,0.404,81.0,1127
21,2,2,1,,,,1569,1103,1595,2113,862,811,8.8,0.258,0.280,41.9,1569
21,3,2,0,,,,1479,812,1604,2061,841,775,6.5,0.240,0.300,20.1,1479
21,4,2,1,,,,1506,932,1611,2277,870,750,9.6,0.259,0.286,22.9,1506
21,5,2,1,,,,1517,867,1587,2170,824,771,8.5,0.274,0.297,22.9,1517
21,6,2,1,,,,1477,815,1598,2152,860,758,7.5,0.248,0.301,25.5,1477
21,7,2,1,,,,1465,834,1501,1947,800,712,5.6,0.249,0.327,20.9,1465
21,8,2,1,,,,1499,904,1538,2003,793,762,6.9,0.244,0.313,24.0,1494
21,9,2,1,,,,1448,813,1559,2009,838,731,6.1,0.280,0.323,21.4,1441
21,10,2,1,,,,1447,883,1508,1973,775,763,6.3,0.267,0.327,23.7,1446
21,1,3,1,,,,1623,947,1763,2822,897,868,14.7,0.239,0.264,24.3,1623
21,2,3,0,,,,1652,946,1708,2802,890,831,14.5,0.208,0.286,17.7,1652
21,3,3,0,,,,1736,1042,1760,2817,920,840,14.4,0.240,0.277,24.7,1736
21,4,3,1,,,,1701,1452,1668,2129,894,893,13.3,0.276,0.249,76.7,1668
21,5,3,1,,,,1656,990,1706,2738,881,833,14.2,0.241,0.278,23.5,1656
21,6,3,1,,,,1688,1015,1702,2594,917,787,13.1,0.255,0.289,22.7,1688
21,7,3,0,,,,1617,994,1638,2523,826,813,12.5,0.252,0.298,25.0,1617
21,8,3,1,,,,1800,1070,1813,2674,947,879,13.5,0.248,0.268,24.8,1800
21,9,3,1,,,,1696,988,1726,2836,891,844,15.3,0.221,0.278,24.1,1696
21,10,3,0,,,,1768,1030,1778,2764,905,873,15.0,0.221,0.273,23.5,1768
22,1,2,0,Guard,195,74.76,1158,694,1525,2183,794,733,1.9,0.272,0.329,7.7,1033
22,2,2,1,,,,1488,1013,1694,2595,886,810,8.6,0.268,0.298,8.0,1071
22,3,2,1,,,,1190,397,1824,2586,953,876,9.2,0.277,0.245,10.7,1190
22,4,2,1,,,,1115,404,1699,2528,891,819,7.2,0.274,0.299,12.6,1115
22,5,2,1,,,,1155,411,1654,2491,858,805,7.9,0.303,0.277,11.9,1155
22,6,2,1,,,,1210,358,1727,2398,921,829,5.9,0.260,0.272,11.1,1210
22,7,2,0,,,,1134,400,1660,2323,877,809,5.5,0.282,0.297,12.0,1134
22,8,2,1,,,,1194,448,1655,2217,885,782,5.9,0.283,0.264,12.2,1194
22,9,2,1,,,,1263,433,1723,2307,892,834,6.2,0.266,0.257,12.8,1263
22,10,2,1,,,,1095,462,1602,2477,815,811,6.1,0.313,0.323,12.6,1093
22,1,3,1,,,,1181,460,2030,3257,1065,972,15.4,0.330,0.244,15.3,1181
22,2,3,0,,,,1114,395,2036,3419,1057,1000,14.2,0.310,0.238,9.7,1114
22,3,3,1,,,,1285,428,1986,3339,969,1020,15.2,0.323,0.216,14.8,1285
22,4,3,0,,,,1156,560,1928,3058,963,983,15.9,0.350,0.248,19.2,1156
22,5,3,1,,,,1126,387,1989,3468,940,1057,14.9,0.272,0.253,6.7,1126
22,6,3,1,,,,1182,760,1972,3039,950,1027,18.3,0.331,0.239,30.1,1182
22,7,3,1,,,,1364,728,2019,3295,1014,1006,17.5,0.286,0.227,19.2,1364
22,8,3,0,,,,1042,509,1911,3070,945,967,15.0,0.323,0.254,14.3,1042
22,9,3,0,,,,1155,386,1939,3346,955,987,16.9,0.299,0.246,12.2,1155
22,10,3,1,,,,1179,399,1897,3168,952,968,15.3,0.378,0.254,16.1,1179
23,1,2,0,Power Forward,200,102.68,1356,189,2007,2696,985,1022,5.5,0.273,0.322,0.0,1356
23,2,2,1,,,,1532,363,2156,2938,1056,1101,7.7,0.473,0.279,13.5,1532
23,3,2,1,,,,1582,1021,2020,2706,1079,941,7.0,0.309,0.336,21.0,1567
23,4,2,1,,,,1496,753,1939,2472,933,1013,5.8,0.357,0.311,19.2,1496
23,5,2,1,,,,1579,812,2065,2656,1056,1019,7.0,0.322,0.296,18.6,1579
23,6,2,0,,,,1570,692,2163,2867,1143,1021,7.6,0.314,0.290,17.4,1570
23,7,2,1,,,,1580,673,2001,2635,1082,923,5.8,0.330,0.307,16.3,1580
23,8,2,0,,,,1564,594,1970,2547,1033,938,5.0,0.319,0.303,15.2,1564
23,9,2,0,,,,1573,746,1969,2530,999,972,5.6,0.306,0.299,18.6,1573
23,10,2,0,,,,1536,666,2081,2795,1109,980,6.3,0.340,0.313,17.4,1536
23,1,3,1,,,,1418,330,2200,3353,1179,1021,9.2,0.378,0.304,10.5,1418
23,2,3,1,,,,1471,742,2143,3218,1176,969,11.0,0.378,0.318,19.5,1471
23,3,3,0,,,,1552,889,2225,3355,1195,1036,11.6,0.322,0.278,19.6,1552
23,4,3,1,,,,1770,761,2247,3320,1258,990,11.1,0.274,0.260,16.8,1770
23,5,3,0,,,,1668,691,2182,3377,1151,1041,11.3,0.368,0.285,18.5,1668
23,6,3,0,,,,1743,750,2171,3157,1223,951,10.4,0.335,0.273,20.4,1743
23,7,3,0,,,,1729,585,2221,3164,1238,987,10.1,0.289,0.265,16.9,1729
23,8,3,0,,,,1621,595,2219,3138,1199,1020,8.9,0.334,0.273,15.9,1621
23,9,3,1,,,,1766,582,2256,3271,1269,990,9.9,0.275,0.266,16.6,1766
23,10,3,0,,,,1713,650,2196,3321,1243,954,10.7,0.276,0.274,16.8,1713